vehicle_id,Hired Status
SHB5531X,Hired
SHB5532T,Hired
SHB5533R,Hired
SHB5535K,Hired
SHB5536H,Hired
SHB5537E,Hired
SHB5538C,Hired
SHB5539A,Hired
SHB5542P,Hired
SHB5544J,Hired
SHB5549X,Hired
SHB5552K,Hired
SHB5553H,Hired
SHB5555C,Hired
SHB5556A,Hired
SHB5557Y,Hired
SHB5558U,Hired
SHB5561J,Hired
SHB5563D,Hired
SHB5570H,Hired
SHB5571E,Hired
SHB5572C,Hired
SHB5573A,Hired
SHB5575U,Hired
SHB5576S,Hired
SHB5579J,Hired
SHB5583X,Hired
SHB5585R,Hired
SHB5586M,Hired
SHB5589E,Hired
SHB5590A,Hired
SHB5595L,Hired
SHB5597G,Hired
SHB5599B,Hired
SHB5607L,Hired
SHB560U,Hired
SHB5610B,Hired
SHB5616K,Hired
SHB5618E,Hired
SHB5619C,Hired
SHB561S,Hired
SHB5622S,Hired
SHB5627D,Hired
SHB562P,Hired
SHB5633K,Hired
SHB5636C,Hired
SHB5657S,Hired
SHB565G,Hired
SHB5660G,Hired
SHB5669H,Hired
SHB5670C,Hired
SHB5671A,Hired
SHB5673U,Hired
SHB5675P,Hired
SHB5678G,Hired
SHB5681X,Hired
SHB5683R,Hired
SHB5685K,Hired
SHB5687E,Hired
SHB5700A,Hired
SHB5701Y,Hired
SHB5702U,Hired
SHB5705L,Hired
SHB5706J,Hired
SHB5707G,Hired
SHB5711T,Hired
SHB5715H,Hired
SHB5717C,Hired
SHB5718A,Hired
SHB571M,Hired
SHB5720S,Hired
SHB5722L,Hired
SHB5723J,Hired
SHB5729T,Hired
SHB5733E,Hired
SHB5734C,Hired
SHB5735A,Hired
SHB5737U,Hired
SHB5738S,Hired
SHB5743B,Hired
SHB5744Z,Hired
SHB5745X,Hired
SHB5749K,Hired
SHB5750E,Hired
SHB5752A,Hired
SHB5759G,Hired
SHB5760B,Hired
SHB5765M,Hired
SHB5766K,Hired
SHB5768E,Hired
SHB5769C,Hired
SHB5770Y,Hired
SHB5775J,Hired
SHB5777D,Hired
SHB5779Z,Hired
SHB5783K,Hired
SHB5785E,Hired
SHB5786C,Hired
SHB5791L,Hired
SHB5792J,Hired
SHB5795B,Hired
SHB5798T,Hired
SHB5799R,Hired
SHB5803L,Hired
SHB5805G,Hired
SHB5807B,Hired
SHB5808Z,Hired
SHB5812K,Hired
SHB5813H,Hired
SHB5815C,Hired
SHB5818U,Hired
SHB5819S,Hired
SHB5820L,Hired
SHB5822G,Hired
SHB5823D,Hired
SHB5825Z,Hired
SHB5827T,Hired
SHB582G,Hired
SHB5830H,Hired
SHB5839J,Hired
SHB5843X,Hired
SHB5850A,Hired
SHB5851Y,Hired
SHB5852U,Hired
SHB5856J,Hired
SHB5857G,Hired
SHB5859B,Hired
SHB585Z,Hired
SHB5865H,Hired
SHB5866E,Hired
SHB5867C,Hired
SHB5870S,Hired
SHB5871P,Hired
SHB5876B,Hired
SHB5881K,Hired
SHB5884C,Hired
SHB5887U,Hired
SHB5893B,Hired
SHB5904D,Hired
SHB5905B,Hired
SHB5913C,Hired
SHB5918P,Hired
SHB5919L,Hired
SHB591E,Hired
SHB5921D,Hired
SHB5923Z,Hired
SHB5924X,Hired
SHB5925T,Hired
SHB5926R,Hired
SHB5928K,Hired
SHB5931A,Hired
SHB5935P,Hired
SHB593A,Hired
SHB5947E,Hired
SHB5951S,Hired
SHB5953L,Hired
SHB595U,Hired
SHB5961M,Hired
SHB5969S,Hired
SHB5975Z,Hired
SHB5976X,Hired
SHB598L,Hired
SHB5991B,Hired
SHB5997K,Hired
SHB5998H,Hired
SHB5G,Hired
SHB600M,Hired
SHB602H,Hired
SHB603E,Hired
SHB606Y,Hired
SHB611G,Hired
SHB614Z,Hired
SHB621C,Hired
SHB624U,Hired
SHB626P,Hired
SHB628J,Hired
SHB633T,Hired
SHB635M,Hired
SHB637H,Hired
SHB63M,Hired
SHB646G,Hired
SHB647D,Hired
SHB651R,Hired
SHB654H,Hired
SHB656C,Hired
SHB660P,Hired
SHB668T,Hired
SHB680G,Hired
SHB687M,Hired
SHB689H,Hired
SHB697J,Hired
SHB702C,Hired
SHB706S,Hired
SHB708L,Hired
SHB711B,Hired
SHB717K,Hired
SHB722U,Hired
SHB726J,Hired
SHB727G,Hired
SHB730X,Hired
SHB732R,Hired
SHB734K,Hired
SHB739Y,Hired
SHB740S,Hired
SHB741P,Hired
SHB747Z,Hired
SHB752H,Hired
SHB754C,Hired
SHB758S,Hired
SHB763B,Hired
SHB765X,Hired
SHB771C,Hired
SHB780B,Hired
SHB783T,Hired
SHB784R,Hired
SHB785M,Hired
SHB786K,Hired
SHB789C,Hired
SHB791U,Hired
SHB792S,Hired
SHB796G,Hired
SHB805P,Hired
SHB806L,Hired
SHB810Z,Hired
SHB812T,Hired
SHB817E,Hired
SHB819A,Hired
SHB821S,Hired
SHB823L,Hired
SHB828Z,Hired
SHB833H,Hired
SHB841J,Hired
SHB843D,Hired
SHB844B,Hired
SHB845Z,Hired
SHB848R,Hired
SHB853A,Hired
SHB855U,Hired
SHB858L,Hired
SHB859J,Hired
SHB860D,Hired
SHB872U,Hired
SHB886E,Hired
SHB88S,Hired
SHB891P,Hired
SHB893J,Hired
SHB903P,Hired
SHB908B,Hired
SHB912M,Hired
SHB919U,Hired
SHB920P,Hired
SHB922J,Hired
SHB923G,Hired
SHB929R,Hired
SHB935Y,Hired
SHB950C,Hired
SHB955P,Hired
SHB957J,Hired
SHB959D,Hired
SHB960Z,Hired
SHB962T,Hired
SHB975G,Hired
SHB976D,Hired
SHB98M,Hired
SHB992G,Hired
SHB999M,Hired
SHB99K,Hired
SHC4018M,Hired
SHC4022A,Hired
